5953,Andorra,Andorian
5954,United Arab Emirates,Emirian
5955,Afghanistan,Afghani
5956,Anguilla,Anguillan
5957,Armenia,Armenian
5958,Angola,Angolian
5959,Antarctica,Antarctic
5960,Argentina,Argentine
5961,Austria,Austrian
5962,Australia,Australian
5963,Aruba,Arubian
5964,Bangladesh,Bangladeshi
5965,Barbados,Barbadian
5966,Belgium,Belgian
5967,Bahrain,Bahrainian
5968,Bermuda,Bermuda
5969,Bolivia,Bolivian
5970,Brazil,Brazilian
5971,Bahamas,Bahameese
5972,Bhutan,Bhutanese
5973,Bulgaria,Bulgarian
5974,Belarus,Belarusian
5975,Belize,Belizean
5976,Canada,Canadian
5977,Congo,Congolese
5978,China,Chinese
5979,Switzerland,Swiss
5980,Chile,Chilean
5981,Cambodia,Cambodian
5982,Cameroon,Cameroonian
5983,Columbia,Columbian
5984,Czech Republic,Czech
5985,Costa Rica,Costa Rican
5986,Cuba,Cuban
5987,Cyprus,Cypriot
5988,Germany,German
5989,Denmark,Danish
5990,Dominica,Dominican
5991,Ecuador,Ecuadorean
5992,Estonia,Estonian
5993,Egypt,Egyptian
5994,Ethiopia,Ethiopian
5995,Finland,Finnish
5996,Fiji,Fijian
5997,France,French
5998,United Kingdom,British
5999,Georgia,Georgian
6000,Ghana,Ghanaian
6001,Guinea,Guinean
6002,Greece,Greek
6003,Guyana,Guyanese
6004,Hong Kong,Chinese
6005,Croatia,Croatian
6006,Hungary,Hungarian
6007,Indonesia,Indonesian
6008,Ireland,Irish
6009,India,Indian
6010,Iraq,Iraqi
6011,Iran,Iranian
6012,Israel,Israeli
6013,Iceland,Icelander
6014,Italy,Italian
6015,Jamaica,Jamaican
6016,Jordan,Jordanian
6017,Japan,Japanese
6018,Kenya,Kenyan
6019,Korea,Korean
6020,Kuwait,Kuwaiti
6021,Kazakhstan,Kazakhstani
6023,Lebanon,Lebanese
6024,Sri Lanka,Sri Lankan
6025,Lithuania,Lithuanian
6026,Luxembourg,Luxembourger
6027,Morocco,Moroccan
6028,Monaco,Monacan
6029,Mexico,Mexican
6030,Myanmar,Mayanmarese
6031,Mongolia,Mongolian
6032,Macau,Macau
6033,Mauritius,Mauritian
6034,Maldives,Maldivan
6035,Malaysia,Malaysian
6036,Namibia,Namibian
6037,Nigeria,Nigerian
6038,Netherland,Dutch
6039,Norway,Norwegian
6040,Nepal,Nepalese
6041,New Zealand,New Zealander
6042,Oman,Omani
6043,Panama,Panamanian
6044,Peru,Peruvian
6045,Philippines,Filipino
6046,Pakistan,Pakistani
6047,Poland,Polish
6048,Portugal,Portugees
6049,Paraguay,Paraguayan
6050,Qatar,Qatari
6051,Romania,Romanian
6052,Russia,Russian
6053,Saudi Arabia,Saudi Arabian
6054,Seychelles,Seychellois
6055,Sweden,Swedish
6056,Singapore,Singaporean
6057,Slovakia,Slovakian
6058,Senegal,Senegalese
6059,Somalia,Somali
6060,Spain,Spanish
6061,Thailand,Thai
6062,Tunisia,Tunisian
6063,Turkey,Turkish
6064,Taiwan,Taiwanese
6065,Tanzania,Tanzanian
6066,Ukraine,Ukrainian
6067,Uganda,Ugandan
6068,United States of America,American
6069,Uruguay,Uruguayan
6070,Uzbekistan,Uzbekistani
6071,Venezuela,Venezuelan
6072,Vietnam,Vietnamese
6073,Yemen,Yemeni
6074,South Africa,South African
6075,Zambia,Zambian
6076,Zimbabwe,Zimbabwean
